id,code,name,presentation,supplier,category,wholesalePrice,active,requiresReview,sourcePage,reviewNote
pdf-01-001,P0001,M-Line Perros Adultos,15 kg + 2.5 kg gratis,MATSUDA,Perros,2029,True,False,1,
pdf-01-002,P0002,M-Line Perros Adultos,2.5 kg,MATSUDA,Perros,345,True,False,1,
pdf-01-003,P0003,M-Line Adulto Raza Pequeña,1 Kg,MATSUDA,Perros,153,True,False,1,
pdf-01-004,P0004,M-Line Adulto Raza Pequeña,10.1 Kg,MATSUDA,Perros,1273,True,False,1,
pdf-01-005,P0005,M-Line Cachorro Raza Pequeña,1 Kg,MATSUDA,Perros,153,True,False,1,
pdf-01-006,P0006,M-Line Cachorro Raza Pequeña,10.1 Kg,MATSUDA,Perros,1273,True,False,1,
pdf-01-007,P0007,M-Line Gatito,10.1 Kg,MATSUDA,Gatos,1945,True,False,1,
pdf-01-008,P0008,M-Line Gatito,1 Kg,MATSUDA,Gatos,226,True,False,1,
pdf-01-009,P0009,M-Line Gato Adulto,10.1 Kg,MATSUDA,Gatos,1576,True,False,1,
pdf-01-010,P0010,M-Line Gato Adulto,1 Kg,MATSUDA,Gatos,186,True,False,1,
pdf-01-011,P0011,M-Line Gato Castrado,10.1 Kg,MATSUDA,Gatos,1576,True,False,1,
pdf-01-012,P0012,Vittamax Classic,10.1 kg,MATSUDA,Otros,778,True,False,1,
pdf-01-013,P0013,Vittamax Classic Combo 35,35 kg,MATSUDA,Otros,2465,True,False,1,
pdf-01-014,P0014,Vittamax Filhote,15 kg,MATSUDA,Otros,1331,True,False,1,
pdf-01-015,P0015,Vittamax Filhotes,2.3 kg,MATSUDA,Otros,242,True,False,1,
pdf-01-016,P0016,Vittamax Gato Carnes,25 kg,MATSUDA,Gatos,2285,True,False,1,
pdf-01-017,P0017,Vittamax Gato Carnes,10.1 kg,MATSUDA,Gatos,940,True,False,1,
pdf-01-018,P0018,Vittamax Gato Mix,1 kg,MATSUDA,Gatos,120,True,False,1,
pdf-01-019,P0019,Vittamax Gato Mix,10.1 kg,MATSUDA,Gatos,1044,True,False,1,
pdf-01-020,P0020,Vittamax Gato Mix,25 kg,MATSUDA,Gatos,2486,True,False,1,
pdf-01-021,P0021,Vittamax Gato Peixe,1 kg,MATSUDA,Gatos,120,True,False,1,
pdf-01-022,P0022,Vittamax Gato Peixe,10.1 kg,MATSUDA,Gatos,1044,True,False,1,
pdf-01-023,P0023,Vittamax Gato Peixe,25 kg,MATSUDA,Gatos,2486,True,False,1,
pdf-01-024,P0024,Vittamax Gold,20 kg,MATSUDA,Otros,1737,True,False,1,
pdf-01-025,P0025,Vittamax Gold Adultos,1 kg,MATSUDA,Perros,102,True,False,1,
pdf-01-026,P0026,Vittamax Natural Filhote,1 kg,MATSUDA,Otros,114,True,False,1,
pdf-01-027,P0027,Vittamax Natural Filhote,10.1 kg,MATSUDA,Otros,1017,True,False,1,
pdf-01-028,P0028,Vittamax Natural Pequeño Porte,1 kg,MATSUDA,Otros,100,True,False,1,
pdf-01-029,P0029,Vittamax Natural Pequeño Porte,10.1 kg,MATSUDA,Otros,889,True,False,1,
pdf-01-030,P0030,Vittamax Natural,15 kg,MATSUDA,Otros,1321,True,False,1,
pdf-01-031,P0031,Vittamax Natural,2.3 kg,MATSUDA,Otros,230,True,False,1,
pdf-01-032,P0032,Vittamax Pollo Castrados,1 kg,MATSUDA,Otros,138,True,False,1,
pdf-01-033,P0033,Vittamax Pollo Castrados,10.1 kg,MATSUDA,Otros,1217,True,False,1,
pdf-01-034,P0034,Vittamax Razas Medianas y Grandes,2.3 kg,MATSUDA,Otros,190,True,False,1,
pdf-01-035,P0035,Vittamax Razas Medianas y Grandes,25 kg,MATSUDA,Otros,1942,True,False,1,
pdf-01-036,P0036,Vittamax Salmón Castrados,1 kg,MATSUDA,Otros,138,True,False,1,
pdf-01-037,P0037,Vittamax Salmón Castrados,10.1 kg,MATSUDA,Otros,1217,True,False,1,
pdf-03-001,P0038,Frost SB,10 kg,SUPRA,Otros,2100,True,False,3,
pdf-03-002,P0039,Frost SB,15 kg,SUPRA,Otros,2900,True,False,3,
pdf-03-003,P0040,Frost SB Cachorro,10 kg,SUPRA,Perros,2170,True,False,3,
pdf-03-004,P0041,Frost LB,17 kg,SUPRA,Otros,2800,True,False,3,
pdf-03-005,P0042,Frost LB Cachorro,17 kg,SUPRA,Perros,2790,True,False,3,
pdf-03-006,P0043,Frost Aduto Lite,15 kg,SUPRA,Otros,2700,True,False,3,
pdf-03-007,P0044,Frost Senior,15 kg,SUPRA,Otros,2700,True,False,3,
pdf-03-008,P0045,Frost Gato,"7,5 kg",SUPRA,Gatos,,True,True,3,"Precios conflictivos en el PDF: $1750, $1950"
pdf-03-010,P0046,Astro Adulto,14 kg,SUPRA,Perros,1690,True,False,3,
pdf-03-011,P0047,Astro Cachorro,14 kg,SUPRA,Perros,1950,True,False,3,
pdf-03-012,P0048,Astro Senior,14 kg,SUPRA,Otros,1950,True,False,3,
pdf-03-013,P0049,Astro Razas Pequeñas,14 kg,SUPRA,Otros,1950,True,False,3,
pdf-03-014,P0050,Criolla Adulto,7 kg,SUPRA,Perros,375,True,False,3,
pdf-03-015,P0051,Criolla Adulto,25 kg,SUPRA,Perros,1150,True,False,3,
pdf-03-016,P0052,Combo Criolla Adulto (25K + 7K),32 kg,SUPRA,Perros,1350,True,False,3,
pdf-03-017,P0053,Criolla Gato,7 kg,SUPRA,Gatos,550,True,False,3,
pdf-03-018,P0054,Criolla Gato,25 kg,SUPRA,Gatos,1920,True,False,3,
pdf-03-019,P0055,Tango Adulto,20 kg,SUPRA,Perros,800,True,False,3,
pdf-03-020,P0056,Nhock,10kg,SUPRA,Otros,580,True,False,3,
pdf-03-021,P0057,Nhock,25kg,SUPRA,Otros,1250,True,False,3,
pdf-03-022,P0058,Combo Nhock,10kg+25kg,SUPRA,Otros,1650,True,False,3,
pdf-04-001,P0059,Primocao Negra,7 kg,DISTRICO,Otros,550,True,False,4,
pdf-04-002,P0060,Primocao Negra,22 kg,DISTRICO,Otros,1450,True,False,4,
pdf-04-003,P0061,Primocao Negra Combo,29 kg,DISTRICO,Otros,1950,True,False,4,
pdf-04-004,P0062,Primocao Naranja,22 kg,DISTRICO,Otros,1850,True,False,4,
pdf-04-005,P0063,Primocao Razas Pequeñas,10 kg,DISTRICO,Otros,1450,True,False,4,
pdf-04-006,P0064,Primocao Razas Pequeñas,22 kg,DISTRICO,Otros,2525,True,False,4,
pdf-04-007,P0065,Primocao Cachorro,10 kg,DISTRICO,Perros,1450,True,False,4,
pdf-04-008,P0066,Primocao Cachorro,22 kg,DISTRICO,Perros,2525,True,False,4,
pdf-04-009,P0067,Primocao Gato,10 kg,DISTRICO,Gatos,1550,True,False,4,
pdf-04-010,P0068,Primocao Gato,22 kg,DISTRICO,Gatos,2800,True,False,4,
pdf-04-011,P0069,Primocao Gato Castrado,10 kg,DISTRICO,Gatos,1550,True,False,4,
pdf-04-012,P0070,Primocao Gato Castrado,15 kg,DISTRICO,Gatos,2150,True,False,4,
pdf-04-013,P0071,Three Cats Familia Castrado,10 kg,DISTRICO,Gatos,1600,True,False,4,
pdf-04-014,P0072,Three Cats Familia Castrado,15 kg,DISTRICO,Gatos,2200,True,False,4,
pdf-04-015,P0073,Three Cats Familia Gatito,15 kg,DISTRICO,Gatos,2200,True,False,4,
